Team,Gender,R Ticket Sales,R Institutional Support,R Contributions,R Media Rights,R NCAA Distributions,R Bowl Generated Revenue,R Licensing and Ads,R Miscellaneous,R Total,E Athletic Student Aid,E Head Coaching Salaries,E Assistant Coaching Salaries,E Support Staff,E Recruiting,E Team Travel,E Equipment,E Game Expenses,E Fund Raising,E Athletic Facilities,E Administrative Expenses,E Bowl Expenses,E Miscellaneous,E Total
M Baseball,2,908158,250000,502163,0,112992,0,193000,113286,2079599,752506,573625,476455,168548,53080,372381,275517,247857,50420,0,231819,0,240878,3443086
M Basketball,2,1789075,269000,663870,4980000,1990533,0,170000,237901,10100379,872737,2310222,997395,747078,316739,747001,190659,381512,165058,0,375492,0,1141491,8245384
M Football,2,25953667,1675632,5432516,14940000,314092,10883035,960000,2472246,62631188,5726618,6613557,8081035,6234371,2234173,2693368,1479968,3008893,268444,0,1476978,9292881,8623744,55734030
M Golf,2,0,90856,116062,0,39097,0,22000,73762,341777,245280,213059,107586,0,29872,118102,34177,77468,-8000,0,49210,0,43467,910221
M Rowing,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M Soccer,2,21501,259461,503550,0,81643,0,70000,13989,950144,763011,326949,230211,64402,92236,182102,87424,33356,23335,0,70716,0,125832,1999574
M Swimming & Diving,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M Tennis,2,0,185797,196321,0,48054,0,47000,14858,492030,396852,184886,91983,70218,15077,202314,92601,24646,2993,0,12245,0,66306,1160121
M Track & Field,2,0,418189,585532,0,130727,0,135000,34575,1304023,1003721,124491,279169,38884,49582,361760,147963,111415,1679,0,53145,0,79942,2251751
M Volleyball,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W Basketball,1,29397,318674,722366,0,50293,0,173000,37559,1331289,918565,574310,624720,424228,169489,468885,185104,251714,125875,0,375492,0,360580,4478962
W Golf,1,0,109233,264049,0,41336,0,34000,53825,502443,373282,195889,80660,0,21972,77985,50532,71583,136,0,49210,0,58171,979420
W Rowing,1,0,450906,675462,0,227193,0,100000,10000,1463561,1126368,148371,202342,13884,40530,199170,118615,34472,449,0,54274,0,224006,2162481
W Soccer,1,733,378823,572549,0,74925,0,70000,10155,1107185,951372,241694,214635,61886,56745,207077,81984,27266,15161,0,70716,0,132002,2060538
W Softball,1,0,204234,260672,0,0,0,44000,0,508906,464906,188150,201969,69598,33674,0,103869,0,102,0,0,0,49327,1111595
W Swimming & Diving,1,0,104026,45975,0,0,0,0,23542,173543,173543,0,0,0,0,0,0,0,0,0,0,0,745,174288
W Tennis,1,0,170214,276147,0,34619,0,43000,59,524039,446361,213670,83960,15166,47416,194863,72233,26064,3322,0,12245,0,43069,1158369
W Track & Field,1,0,386356,798917,0,148641,0,135000,36475,1505389,1185273,124490,278315,38681,59330,475058,148291,87794,1643,0,53145,0,82877,2534897
W Volleyball,1,3214,330496,632962,0,57011,0,48000,2385,1074068,963458,208120,235420,62785,57092,281731,62155,25401,21995,0,18858,0,94146,2031161
General,0,11492,0,31810802,0,2000,0,14668569,1279089,47771952,0,0,0,15389239,0,0,311299,258632,5845437,9259903,3432756,0,7045370,41542636
Overall,0,28717237,5601897,44059915,19920000,3353156,10883035,16912569,4413706,133861515,16363853,12241483,12185855,23398968,3277007,6581797,3442391,4668073,6518049,9259903,6336301,9292881,18411953,131978514